,Model,Weeks ahead,Location,LS,CRPS,CS
0,BPagano-RtDriven,1,AK,-4.642938545022082,6.261535572681278,0.430666665673256
1,BPagano-RtDriven,1,AL,-3.602854395705498,21.161538217431755,0.15866666984558117
2,BPagano-RtDriven,1,AR,-2.4384156083147945,6.660344423860721,0.05936666626930235
3,BPagano-RtDriven,1,AZ,-2.1855808675476216,5.896111452366473,0.11709999560415735
4,BPagano-RtDriven,1,CA,-2.421522593342553,31.778916834463406,0.055333333581685976
5,BPagano-RtDriven,1,CO,-3.6120242794427,15.610435975958024,0.3364999991059305
6,BPagano-RtDriven,1,CT,-4.545790369023815,11.592977772791585,0.2237999973177911
7,BPagano-RtDriven,1,DC,-3.279171503049563,1.7333458484633217,0.2439999982118608
8,BPagano-RtDriven,1,DE,-3.3921362175923453,4.946002908190352,0.17269999791383753
9,BPagano-RtDriven,1,FL,-2.809145484365821,61.342222622054244,0.09393333633840094
10,BPagano-RtDriven,1,GA,-2.5349918052676803,13.914912005363847,0.06860000208616264
11,BPagano-RtDriven,1,IA,-3.6948787312391986,12.119800584253547,0.12793333633840095
12,BPagano-RtDriven,1,ID,-2.9570620849624354,4.856905372638452,0.16566666708886638
13,BPagano-RtDriven,1,IL,-2.9135190455405913,16.473325311324,0.09096666537523274
14,BPagano-RtDriven,1,IN,-2.7927101014136118,8.99932739218835,0.0639333314210177
15,BPagano-RtDriven,1,KS,-4.038331946819668,14.85087795011088,0.3081666637361051
16,BPagano-RtDriven,1,KY,-2.837841956243654,8.07164515165969,0.19350000312924373
17,BPagano-RtDriven,1,LA,-2.1862426970158713,7.223873146710745,0.09863333402872079
18,BPagano-RtDriven,1,MA,-2.5158687460198745,8.69037272121191,0.03506666664183136
19,BPagano-RtDriven,1,MD,-2.609471256886384,4.793591756822347,0.1298666691750287
20,BPagano-RtDriven,1,ME,-4.259494364023763,8.901203267745702,0.36149999850988396
21,BPagano-RtDriven,1,MI,-3.8281414374717744,31.076512210185168,0.19479999508261692
22,BPagano-RtDriven,1,MN,-2.8115739986735417,6.11810884845109,0.05696666761040694
23,BPagano-RtDriven,1,MO,-3.6482167456000503,15.912337583538756,0.12556666619479667
24,BPagano-RtDriven,1,MS,-2.301191963546437,5.192794696635151,0.06676666649281977
25,BPagano-RtDriven,1,MT,-3.568407610902865,4.4934654659176605,0.2889666664183141
26,BPagano-RtDriven,1,NC,-5.635451138225522,83.26980408282117,0.47899999955296524
27,BPagano-RtDriven,1,ND,-4.525308484696537,3.7764258059935365,0.28899999903142465
28,BPagano-RtDriven,1,NE,-4.654689301704326,11.540074740247851,0.4315000008195639
29,BPagano-RtDriven,1,NH,-2.6403460139181054,2.4707862498602426,0.0816333360403777
30,BPagano-RtDriven,1,NJ,-2.951886274379085,8.494914046662602,0.06613333194255828
31,BPagano-RtDriven,1,NM,-3.582971195008851,24.039870985737874,0.30149999731779115
32,BPagano-RtDriven,1,NV,-2.5866146208451952,8.523765391753797,0.04933333536982538
33,BPagano-RtDriven,1,NY,-2.0925664198511407,13.23911971786202,0.06520000216066828
34,BPagano-RtDriven,1,OH,-5.342730207428974,36.809290176790476,0.3323333331346513
35,BPagano-RtDriven,1,OK,-2.4969823340846524,136.79440794185203,0.2621333329111339
36,BPagano-RtDriven,1,OR,-2.5184014310061484,14.047507487506074,0.11903333462476734
37,BPagano-RtDriven,1,PA,-2.8774039626725862,19.21899089310187,0.1248333306014539
38,BPagano-RtDriven,1,RI,-2.9476736622115003,1.5929216804714847,0.16466666798293603
39,BPagano-RtDriven,1,SC,-4.124464445871996,16.48097768003687,0.31963333209157
40,BPagano-RtDriven,1,SD,-3.1611172761875603,1.8018562430732432,0.1709999976158143
41,BPagano-RtDriven,1,TN,-3.4038853454462696,15.191701574599763,0.13566666157543672
42,BPagano-RtDriven,1,TX,-2.425811607330353,21.703206485276866,0.06186666708886627
43,BPagano-RtDriven,1,US,-2.347013283927162,217.57156446457384,0.12133333514630786
44,BPagano-RtDriven,1,UT,-2.521218272336851,3.232953444790681,0.05933333171904083
45,BPagano-RtDriven,1,VA,-4.571351959756166,23.556248821749502,0.16599999985098848
46,BPagano-RtDriven,1,VT,-4.60598444305854,1.6583039511583635,0.21733333507180227
47,BPagano-RtDriven,1,WA,-2.979038425703306,16.173175284241022,0.1568333317935468
48,BPagano-RtDriven,1,WI,-2.79649822197805,6.402176587487694,0.1088666667163373
49,BPagano-RtDriven,1,WV,-3.6520818784188904,8.216166230811837,0.14546666768491281
50,BPagano-RtDriven,1,WY,-4.555905469552501,2.9139393641809317,0.1568333353698255
51,BPagano-RtDriven,2,AK,-4.45784480883384,5.727993857006346,0.370363634467125
52,BPagano-RtDriven,2,AL,-3.1599639301104414,18.9026214391458,0.08876363178491602
53,BPagano-RtDriven,2,AR,-2.6749463685416024,7.497573767430927,0.11738182021379462
54,BPagano-RtDriven,2,AZ,-2.9143745730753867,6.223787601054455,0.17347273553609838
55,BPagano-RtDriven,2,CA,-2.5303934171235323,34.97632939358827,0.06169090906381602
56,BPagano-RtDriven,2,CO,-3.478811972866735,17.709869563268953,0.2503636302947999
57,BPagano-RtDriven,2,CT,-3.4467379008138592,11.07425950900694,0.21581817501783385
58,BPagano-RtDriven,2,DC,-3.085182236618633,1.548860096212901,0.09634544842243205
59,BPagano-RtDriven,2,DE,-3.1267935213805202,4.854172629948212,0.17599999284744272
60,BPagano-RtDriven,2,FL,-2.7832349450955616,53.135014808748224,0.1105818181276321
61,BPagano-RtDriven,2,GA,-3.3451596984949408,20.103919588587242,0.05663636195659645
62,BPagano-RtDriven,2,IA,-3.292619955071908,10.76846523130729,0.04852727340459829
63,BPagano-RtDriven,2,ID,-2.5268625110584755,4.150018284319201,0.07550908914804463
64,BPagano-RtDriven,2,IL,-2.8833510622075176,17.61767433598373,0.0705090858697892
65,BPagano-RtDriven,2,IN,-2.614126127817253,8.930844427772998,0.05823636672496793
66,BPagano-RtDriven,2,KS,-4.135758470040195,16.477697119891666,0.38036363297700887
67,BPagano-RtDriven,2,KY,-3.0810785336769113,10.37543915416738,0.1941818228960036
68,BPagano-RtDriven,2,LA,-2.2149194367996063,7.407362101135803,0.12880000357627858
69,BPagano-RtDriven,2,MA,-2.63930405954371,9.710619544083904,0.06289091085195538
70,BPagano-RtDriven,2,MD,-2.6506517936326195,4.5286006524530285,0.19120000536441795
71,BPagano-RtDriven,2,ME,-4.329032775928169,9.511897394369457,0.272181812465191
72,BPagano-RtDriven,2,MI,-2.7611659865173355,20.957120163846437,0.04583636523485188
73,BPagano-RtDriven,2,MN,-2.823124854337589,5.795948392471672,0.0571818187236785
74,BPagano-RtDriven,2,MO,-3.8195656342343964,18.894012639407634,0.21309090608358397
75,BPagano-RtDriven,2,MS,-2.4898564919203965,5.966485038973372,0.08525455127954473
76,BPagano-RtDriven,2,MT,-3.35742604003422,4.606744307988197,0.2542727209329606
77,BPagano-RtDriven,2,NC,-4.216886555352274,77.85324608797973,0.37945454204082496
78,BPagano-RtDriven,2,ND,-3.108432807151409,3.0125113709632463,0.293999995827675
79,BPagano-RtDriven,2,NE,-4.17074394167122,12.838925511651404,0.3930909063816071
80,BPagano-RtDriven,2,NH,-2.79576187509528,2.645970623468836,0.04314545229673387
81,BPagano-RtDriven,2,NJ,-3.0767658679720373,9.53259094380624,0.07054545795917505
82,BPagano-RtDriven,2,NM,-3.911129342505757,28.116428771460843,0.28127272242307677
83,BPagano-RtDriven,2,NV,-2.8519605187515285,10.19208598976369,0.1053090909361839
84,BPagano-RtDriven,2,NY,-2.347854872225595,17.287839426235053,0.07589090906381601
85,BPagano-RtDriven,2,OH,-4.6114000291007216,38.855670777375764,0.26399999374151245
86,BPagano-RtDriven,2,OK,-2.652083329167483,146.02998343329358,0.22399999254941955
87,BPagano-RtDriven,2,OR,-2.6345175298739103,12.99304684021859,0.12450909659862515
88,BPagano-RtDriven,2,PA,-2.983415849824439,23.871439804831144,0.11147272272109998
89,BPagano-RtDriven,2,RI,-2.9386112379535656,1.5341609202357978,0.07914545527696618
